registro_id,cola_type,mw,municipio,estado,query,query_url,suggested_class
SCCC-00440-2025,conexion,1102.0,San Nicolás De Los Garza,Nuevo León,"""San Nicolás De Los Garza"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22San+Nicol%C3%A1s+De+Los+Garza%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00418-2025,conexion,795.0,Pesquería,Nuevo León,"""Pesquería"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Pesquer%C3%ADa%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00148-2024,conexion,200.0,Cadereyta Jiménez,Nuevo León,"""Cadereyta Jiménez"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Cadereyta+Jim%C3%A9nez%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00646-2025,conexion,100.0,Salinas Victoria,Nuevo León,"""Salinas Victoria"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Salinas+Victoria%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00731-2025,conexion,77.6,Cienega De Flores,Nuevo León,"""Cienega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Cienega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00622-2025,conexion,60.0,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00619-2025,conexion,60.0,Ciénega De Flores,Nuevo León,"""Ciénega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Ci%C3%A9nega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00348-2025,conexion,58.0,Santa Catarina,Nuevo León,"""Santa Catarina"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Santa+Catarina%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01100-2023,conexion,54.0,Santa Catarina,Nuevo León,"""Santa Catarina"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Santa+Catarina%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00064-2024,conexion,48.0,Monterrey,Nuevo León,"""Monterrey"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Monterrey%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00747-2025,conexion,40.0,Ciénega De Flores,Nuevo León,"""Ciénega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Ci%C3%A9nega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01036-2023,conexion,37.8,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00390-2024,conexion,36.0,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00154-2024,conexion,36.0,Ciénega De Flores,Nuevo León,"""Ciénega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Ci%C3%A9nega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01059-2023,conexion,36.0,Salinas Victoria,Nuevo León,"""Salinas Victoria"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Salinas+Victoria%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01037-2023,conexion,31.8,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00687-2025,conexion,30.0,Santa Catarina,Nuevo León,"""Santa Catarina"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Santa+Catarina%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00317-2025,conexion,27.0,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01159-2023,conexion,27.0,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01061-2023,conexion,27.0,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00149-2022,conexion,26.5,El Carmen,Nuevo León,"""El Carmen"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22El+Carmen%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
