municipio,municipio_key,estado,lat,lon,geo_source
Aguascalientes,aguascalientes,Aguascalientes,21.8853,-102.2916,municipio_seat
ASIENTOS,asientos,Aguascalientes,21.8853,-102.2916,state_centroid
El Llano,el llano,Aguascalientes,21.8853,-102.2916,state_centroid
Jesús María,jesus maria,Aguascalientes,21.8853,-102.2916,state_centroid
Pabellon De Arteaga,pabellon de arteaga,Aguascalientes,21.8853,-102.2916,state_centroid
Rincon De Romos,rincon de romos,Aguascalientes,21.8853,-102.2916,state_centroid
San Antonio De Los Horcones,san antonio de los horcones,Aguascalientes,21.8853,-102.2916,state_centroid
San Francisco De Los Romo,san francisco de los romo,Aguascalientes,21.8853,-102.2916,state_centroid
San Francisco De Los Romos,san francisco de los romos,Aguascalientes,21.8853,-102.2916,state_centroid
Tepezalá,tepezala,Aguascalientes,21.8853,-102.2916,state_centroid
Comondú,comondu,Baja California,30.8406,-115.2838,state_centroid
Ejido General Heriberto Jara,ejido general heriberto jara,Baja California,30.8406,-115.2838,state_centroid
Ensenada,ensenada,Baja California,31.8667,-116.5967,municipio_seat
"Ensenada, Baja California",ensenada baja california,Baja California,30.8406,-115.2838,state_centroid
La Joya,la joya,Baja California,30.8406,-115.2838,state_centroid
Mexicali,mexicali,Baja California,32.6245,-115.4523,municipio_seat
Mexicalli,mexicalli,Baja California,30.8406,-115.2838,state_centroid
Playas De Rosarito,playas de rosarito,Baja California,32.3649,-117.0553,municipio_seat
Rosarito,rosarito,Baja California,30.8406,-115.2838,state_centroid
San José Del Cabo,san jose del cabo,Baja California,30.8406,-115.2838,state_centroid
San Quintín,san quintin,Baja California,30.8406,-115.2838,state_centroid
Tecate,tecate,Baja California,32.5656,-116.6325,municipio_seat
Tijuana,tijuana,Baja California,32.5149,-117.0382,municipio_seat
Cabo San Lucas,cabo san lucas,Baja California Sur,22.8909,-109.9124,municipio_seat
Comondú,comondu,Baja California Sur,26.0444,-111.6661,state_centroid
Conmondú,conmondu,Baja California Sur,26.0444,-111.6661,state_centroid
El Triunfo,el triunfo,Baja California Sur,26.0444,-111.6661,state_centroid
La Paz,la paz,Baja California Sur,24.1426,-110.3128,municipio_seat
Loreto,loreto,Baja California Sur,26.0444,-111.6661,state_centroid
Los Cabos,los cabos,Baja California Sur,23.0636,-109.702,municipio_seat
Mulegé,mulege,Baja California Sur,26.0444,-111.6661,state_centroid
Municipio De Los Cabos,municipio de los cabos,Baja California Sur,26.0444,-111.6661,state_centroid
San José Del Cabo,san jose del cabo,Baja California Sur,26.0444,-111.6661,state_centroid
Campeche,campeche,Campeche,19.8301,-90.5349,municipio_seat
Carmen,carmen,Campeche,18.6517,-91.807,municipio_seat
Champotón,champoton,Campeche,19.8301,-90.5349,state_centroid
Del Carmen,del carmen,Campeche,19.8301,-90.5349,state_centroid
Escarcega,escarcega,Campeche,19.8301,-90.5349,state_centroid
HECELCHAKÁN,hecelchakan,Campeche,19.8301,-90.5349,state_centroid
Hopelchén,hopelchen,Campeche,19.8301,-90.5349,state_centroid
PALIZADA,palizada,Campeche,19.8301,-90.5349,state_centroid
Pocyaxum,pocyaxum,Campeche,19.8301,-90.5349,state_centroid
Seybaplaya,seybaplaya,Campeche,19.8301,-90.5349,state_centroid
Tenabo,tenabo,Campeche,19.8301,-90.5349,state_centroid
ACAPETAHUA,acapetahua,Chiapas,16.7569,-93.1292,state_centroid
Arriaga,arriaga,Chiapas,16.7569,-93.1292,state_centroid
Berriozabal,berriozabal,Chiapas,16.7569,-93.1292,state_centroid
CATAZAJÁ,catazaja,Chiapas,16.7569,-93.1292,state_centroid
Chicoasén,chicoasen,Chiapas,16.965,-93.103,municipio_seat
"Ciudad Hidalgo, Tapachula",ciudad hidalgo tapachula,Chiapas,16.7569,-93.1292,state_centroid
COMITÁN DE DOMÍNGUEZ,comitan de dominguez,Chiapas,16.7569,-93.1292,state_centroid
Huixtla,huixtla,Chiapas,16.7569,-93.1292,state_centroid
JIQUIPILAS,jiquipilas,Chiapas,16.7569,-93.1292,state_centroid
MAPASTEPEC,mapastepec,Chiapas,16.7569,-93.1292,state_centroid
MAZATÁN,mazatan,Chiapas,16.7569,-93.1292,state_centroid
MEZCALAPA,mezcalapa,Chiapas,16.7569,-93.1292,state_centroid
Ocozocoautla De Espinosa,ocozocoautla de espinosa,Chiapas,16.7569,-93.1292,state_centroid
Palenque,palenque,Chiapas,16.7569,-93.1292,state_centroid
Pijijiapan,pijijiapan,Chiapas,16.7569,-93.1292,state_centroid
Puerto Madero,puerto madero,Chiapas,16.7569,-93.1292,state_centroid
Reforma,reforma,Chiapas,16.7569,-93.1292,state_centroid
San Lucas,san lucas,Chiapas,16.7569,-93.1292,state_centroid
Suchiate,suchiate,Chiapas,16.7569,-93.1292,state_centroid
TAPACHULA,tapachula,Chiapas,14.9056,-92.2634,municipio_seat
Tuxtla Gutiérrez,tuxtla gutierrez,Chiapas,16.7516,-93.1026,municipio_seat
VENUSTIANO CARRANZA,venustiano carranza,Chiapas,16.7569,-93.1292,state_centroid
Villa Comaltitlán,villa comaltitlan,Chiapas,16.7569,-93.1292,state_centroid
Ahumada,ahumada,Chihuahua,28.633,-106.0691,state_centroid
Allende,allende,Chihuahua,28.633,-106.0691,state_centroid
Aquiles Serdán,aquiles serdan,Chihuahua,28.633,-106.0691,state_centroid
Ascension,ascension,Chihuahua,28.633,-106.0691,state_centroid
Camargo,camargo,Chihuahua,28.633,-106.0691,state_centroid
Cd. Juarez,cd juarez,Chihuahua,28.633,-106.0691,state_centroid
Chihuahua,chihuahua,Chihuahua,28.635,-106.089,municipio_seat
Chínipas,chinipas,Chihuahua,28.633,-106.0691,state_centroid
Ciudad Delicias,ciudad delicias,Chihuahua,28.633,-106.0691,state_centroid
Ciudad Jimenez,ciudad jimenez,Chihuahua,28.633,-106.0691,state_centroid
Ciudad Juarez,ciudad juarez,Chihuahua,28.633,-106.0691,state_centroid
Cuauhtémoc,cuauhtemoc,Chihuahua,28.633,-106.0691,state_centroid
Cusihuriachi,cusihuriachi,Chihuahua,28.633,-106.0691,state_centroid
Delicias,delicias,Chihuahua,28.19,-105.47,municipio_seat
